ID,OperationShowTime,OperationTriggerTime,MovementTime,OperationResult,TriggeredButtonName,TargetButtonName,AudioOn,VibrateOn
1,12:47:23 PM,12:47:30 PM,7.097341,Success,L2,Correct!,True,True
2,12:47:30 PM,12:47:32 PM,1.9776646,Success,L1,Correct!,True,True
3,12:47:33 PM,12:47:36 PM,3.0224802,Success,L1,Correct!,True,True
4,12:47:37 PM,12:47:38 PM,1.6112956,Success,R2,Correct!,True,True
5,12:47:39 PM,12:47:40 PM,1.2217164,Success,R3,Correct!,True,True
6,12:47:40 PM,12:47:41 PM,1.0782093,Success,R3,Correct!,True,True
7,12:47:41 PM,12:47:43 PM,1.3993782,Fail,L2,Wrong!,True,True
8,12:47:43 PM,12:47:45 PM,1.9216057,Success,L1,Correct!,True,True
9,12:47:45 PM,12:47:48 PM,2.4218896,Success,L3,Correct!,True,True
10,12:47:48 PM,12:47:49 PM,1.1009718,Success,R3,Correct!,True,True
11,12:47:50 PM,12:47:52 PM,2.3447715,Success,L3,Correct!,True,True
12,12:47:53 PM,12:47:54 PM,1.199998,Success,R1,Correct!,True,True
13,12:47:54 PM,12:47:55 PM,1.0660469,Success,R1,Correct!,True,True
14,12:47:56 PM,12:47:57 PM,1.0210464,Success,R3,Correct!,True,True
15,12:47:57 PM,12:48:00 PM,3.045237,Fail,L1,Wrong!,True,True
16,12:48:01 PM,12:48:02 PM,1.4763185,Success,L1,Correct!,True,True
17,12:48:02 PM,12:48:04 PM,1.4114492,Fail,R2,Wrong!,True,True
18,12:48:04 PM,12:48:06 PM,1.2436527,Success,L2,Correct!,True,True
19,12:48:06 PM,12:48:07 PM,1.0115959,Success,L2,Correct!,True,True
20,12:48:07 PM,12:48:08 PM,0.9105107,Success,L2,Correct!,True,True

